pK,pL,value
419/512<=pK<=4191/5120,17/64<=pL<=1361/5120, 	Unknown
4191/5120<=pK<=131/160,17/64<=pL<=1361/5120, 	Unknown
419/512<=pK<=4191/5120,1361/5120<=pL<=681/2560, 	Unknown
4191/5120<=pK<=131/160,1361/5120<=pL<=681/2560, 	Unknown
1047/1280<=pK<=4189/5120,681/2560<=pL<=1363/5120, 	Unknown
4189/5120<=pK<=419/512,681/2560<=pL<=1363/5120, 	Unknown
1047/1280<=pK<=4189/5120,1363/5120<=pL<=341/1280, 	Unknown
4189/5120<=pK<=419/512,1363/5120<=pL<=341/1280, 	Unknown
419/512<=pK<=4191/5120,681/2560<=pL<=1363/5120, 	Unknown
4191/5120<=pK<=131/160,681/2560<=pL<=1363/5120, 	Unknown
419/512<=pK<=4191/5120,1363/5120<=pL<=341/1280, 	Unknown
4191/5120<=pK<=131/160,1363/5120<=pL<=341/1280, 	Unknown
523/640<=pK<=837/1024,341/1280<=pL<=273/1024, 	Unknown
837/1024<=pK<=2093/2560,341/1280<=pL<=273/1024, 	Unknown
523/640<=pK<=837/1024,273/1024<=pL<=683/2560, 	Unknown
837/1024<=pK<=2093/2560,273/1024<=pL<=683/2560, 	Unknown
1049/1280<=pK<=4197/5120,679/2560<=pL<=1359/5120, 	Unknown
4197/5120<=pK<=2099/2560,679/2560<=pL<=1359/5120, 	Unknown
1049/1280<=pK<=4197/5120,1359/5120<=pL<=17/64, 	Unknown
4197/5120<=pK<=2099/2560,1359/5120<=pL<=17/64, 	Unknown
2099/2560<=pK<=4199/5120,679/2560<=pL<=1359/5120, 	Unknown
4199/5120<=pK<=105/128,679/2560<=pL<=1359/5120, 	Unknown
2099/2560<=pK<=4199/5120,1359/5120<=pL<=17/64, 	Unknown
4199/5120<=pK<=105/128,1359/5120<=pL<=17/64, 	Unknown
2101/2560<=pK<=4203/5120,339/1280<=pL<=1357/5120, 	Unknown
4203/5120<=pK<=1051/1280,339/1280<=pL<=1357/5120, 	Unknown
2101/2560<=pK<=4203/5120,1357/5120<=pL<=679/2560, 	Unknown
4203/5120<=pK<=1051/1280,1357/5120<=pL<=679/2560, 	Unknown
105/128<=pK<=4201/5120,679/2560<=pL<=1359/5120, 	Unknown
4201/5120<=pK<=2101/2560,679/2560<=pL<=1359/5120, 	Unknown
105/128<=pK<=4201/5120,1359/5120<=pL<=17/64, 	Unknown
4201/5120<=pK<=2101/2560,1359/5120<=pL<=17/64, 	Unknown
2101/2560<=pK<=4203/5120,679/2560<=pL<=1359/5120, 	Unknown
4203/5120<=pK<=1051/1280,679/2560<=pL<=1359/5120, 	Unknown
2101/2560<=pK<=4203/5120,1359/5120<=pL<=17/64, 	Unknown
4203/5120<=pK<=1051/1280,1359/5120<=pL<=17/64, 	Unknown
1051/1280<=pK<=841/1024,339/1280<=pL<=1357/5120, 	Unknown
841/1024<=pK<=2103/2560,339/1280<=pL<=1357/5120, 	Unknown
1051/1280<=pK<=841/1024,1357/5120<=pL<=679/2560, 	Unknown
841/1024<=pK<=2103/2560,1357/5120<=pL<=679/2560, 	Unknown
2103/2560<=pK<=4207/5120,339/1280<=pL<=1357/5120, 	Unknown
4207/5120<=pK<=263/320,339/1280<=pL<=1357/5120, 	Unknown
2103/2560<=pK<=4207/5120,1357/5120<=pL<=679/2560, 	Unknown
4207/5120<=pK<=263/320,1357/5120<=pL<=679/2560, 	Unknown
2111/2560<=pK<=4223/5120,135/512<=pL<=1351/5120, 	Unknown
4223/5120<=pK<=33/40,135/512<=pL<=1351/5120, 	Unknown
2111/2560<=pK<=4223/5120,1351/5120<=pL<=169/640, 	Unknown
4223/5120<=pK<=33/40,1351/5120<=pL<=169/640, 	Unknown
263/320<=pK<=4209/5120,677/2560<=pL<=271/1024, 	Unknown
4209/5120<=pK<=421/512,677/2560<=pL<=271/1024, 	Unknown
263/320<=pK<=4209/5120,271/1024<=pL<=339/1280, 	Unknown
4209/5120<=pK<=421/512,271/1024<=pL<=339/1280, 	Unknown
421/512<=pK<=4211/5120,677/2560<=pL<=271/1024, 	Unknown
4211/5120<=pK<=1053/1280,677/2560<=pL<=271/1024, 	Unknown
421/512<=pK<=4211/5120,271/1024<=pL<=339/1280, 	Unknown
4211/5120<=pK<=1053/1280,271/1024<=pL<=339/1280, 	Unknown
2107/2560<=pK<=843/1024,169/640<=pL<=1353/5120, 	Unknown
843/1024<=pK<=527/640,169/640<=pL<=1353/5120, 	Unknown
2107/2560<=pK<=843/1024,1353/5120<=pL<=677/2560, 	Unknown
843/1024<=pK<=527/640,1353/5120<=pL<=677/2560, 	Unknown
1053/1280<=pK<=4213/5120,677/2560<=pL<=271/1024, 	Unknown
4213/5120<=pK<=2107/2560,677/2560<=pL<=271/1024, 	Unknown
1053/1280<=pK<=4213/5120,271/1024<=pL<=339/1280, 	Unknown
4213/5120<=pK<=2107/2560,271/1024<=pL<=339/1280, 	Unknown
2107/2560<=pK<=843/1024,677/2560<=pL<=271/1024, 	Unknown
843/1024<=pK<=527/640,677/2560<=pL<=271/1024, 	Unknown
2107/2560<=pK<=843/1024,271/1024<=pL<=339/1280, 	Unknown
843/1024<=pK<=527/640,271/1024<=pL<=339/1280, 	Unknown
263/320<=pK<=4209/5120,339/1280<=pL<=1357/5120, 	Unknown
4209/5120<=pK<=421/512,339/1280<=pL<=1357/5120, 	Unknown
263/320<=pK<=4209/5120,1357/5120<=pL<=679/2560, 	Unknown
4209/5120<=pK<=421/512,1357/5120<=pL<=679/2560, 	Unknown
527/640<=pK<=4217/5120,169/640<=pL<=1353/5120, 	Unknown
4217/5120<=pK<=2109/2560,169/640<=pL<=1353/5120, 	Unknown
527/640<=pK<=4217/5120,1353/5120<=pL<=677/2560, 	Unknown
4217/5120<=pK<=2109/2560,1353/5120<=pL<=677/2560, 	Unknown
2109/2560<=pK<=4219/5120,169/640<=pL<=1353/5120, 	Unknown
4219/5120<=pK<=211/256,169/640<=pL<=1353/5120, 	Unknown
2109/2560<=pK<=4219/5120,1353/5120<=pL<=677/2560, 	Unknown
4219/5120<=pK<=211/256,1353/5120<=pL<=677/2560, 	Unknown
211/256<=pK<=4221/5120,169/640<=pL<=1353/5120, 	Unknown
4221/5120<=pK<=2111/2560,169/640<=pL<=1353/5120, 	Unknown
211/256<=pK<=4221/5120,1353/5120<=pL<=677/2560, 	Unknown
4221/5120<=pK<=2111/2560,1353/5120<=pL<=677/2560, 	Unknown
2111/2560<=pK<=4223/5120,169/640<=pL<=1353/5120, 	Unknown
4223/5120<=pK<=33/40,169/640<=pL<=1353/5120, 	Unknown
2111/2560<=pK<=4223/5120,1353/5120<=pL<=677/2560, 	Unknown
4223/5120<=pK<=33/40,1353/5120<=pL<=677/2560, 	Unknown
131/160<=pK<=4193/5120,17/64<=pL<=1361/5120, 	Unknown
4193/5120<=pK<=2097/2560,17/64<=pL<=1361/5120, 	Unknown
131/160<=pK<=4193/5120,1361/5120<=pL<=681/2560, 	Unknown
4193/5120<=pK<=2097/2560,1361/5120<=pL<=681/2560, 	Unknown
2097/2560<=pK<=839/1024,17/64<=pL<=1361/5120, 	Unknown
839/1024<=pK<=1049/1280,17/64<=pL<=1361/5120, 	Unknown
2097/2560<=pK<=839/1024,1361/5120<=pL<=681/2560, 	Unknown
839/1024<=pK<=1049/1280,1361/5120<=pL<=681/2560, 	Unknown
1049/1280<=pK<=4197/5120,17/64<=pL<=1361/5120, 	Unknown
4197/5120<=pK<=2099/2560,17/64<=pL<=1361/5120, 	Unknown
1049/1280<=pK<=4197/5120,1361/5120<=pL<=681/2560, 	Unknown
4197/5120<=pK<=2099/2560,1361/5120<=pL<=681/2560, 	Unknown
2123/2560<=pK<=4247/5120,671/2560<=pL<=1343/5120, 	Unknown
4247/5120<=pK<=531/640,671/2560<=pL<=1343/5120, 	Unknown
2123/2560<=pK<=4247/5120,1343/5120<=pL<=21/80, 	Unknown
4247/5120<=pK<=531/640,1343/5120<=pL<=21/80, 	Unknown
531/640<=pK<=4249/5120,671/2560<=pL<=1343/5120, 	Unknown
4249/5120<=pK<=425/512,671/2560<=pL<=1343/5120, 	Unknown
531/640<=pK<=4249/5120,1343/5120<=pL<=21/80, 	Unknown
4249/5120<=pK<=425/512,1343/5120<=pL<=21/80, 	Unknown
425/512<=pK<=4251/5120,671/2560<=pL<=1343/5120, 	Unknown
4251/5120<=pK<=1063/1280,671/2560<=pL<=1343/5120, 	Unknown
425/512<=pK<=4251/5120,1343/5120<=pL<=21/80, 	Unknown
4251/5120<=pK<=1063/1280,1343/5120<=pL<=21/80, 	Unknown
1063/1280<=pK<=4253/5120,67/256<=pL<=1341/5120, 	Unknown
4253/5120<=pK<=2127/2560,67/256<=pL<=1341/5120, 	Unknown
1063/1280<=pK<=4253/5120,1341/5120<=pL<=671/2560, 	Unknown
4253/5120<=pK<=2127/2560,1341/5120<=pL<=671/2560, 	Unknown
2127/2560<=pK<=851/1024,67/256<=pL<=1341/5120, 	Unknown
851/1024<=pK<=133/160,67/256<=pL<=1341/5120, 	Unknown
2127/2560<=pK<=851/1024,1341/5120<=pL<=671/2560, 	Unknown
851/1024<=pK<=133/160,1341/5120<=pL<=671/2560, 	Unknown
1063/1280<=pK<=4253/5120,671/2560<=pL<=1343/5120, 	Unknown
4253/5120<=pK<=2127/2560,671/2560<=pL<=1343/5120, 	Unknown
1063/1280<=pK<=4253/5120,1343/5120<=pL<=21/80, 	Unknown
4253/5120<=pK<=2127/2560,1343/5120<=pL<=21/80, 	Unknown
2129/2560<=pK<=4259/5120,669/2560<=pL<=1339/5120, 	Unknown
4259/5120<=pK<=213/256,669/2560<=pL<=1339/5120, 	Unknown
2129/2560<=pK<=4259/5120,1339/5120<=pL<=67/256, 	Unknown
4259/5120<=pK<=213/256,1339/5120<=pL<=67/256, 	Unknown
213/256<=pK<=4261/5120,669/2560<=pL<=1339/5120, 	Unknown
4261/5120<=pK<=2131/2560,669/2560<=pL<=1339/5120, 	Unknown
213/256<=pK<=4261/5120,1339/5120<=pL<=67/256, 	Unknown
4261/5120<=pK<=2131/2560,1339/5120<=pL<=67/256, 	Unknown
2131/2560<=pK<=4263/5120,669/2560<=pL<=1339/5120, 	Unknown
4263/5120<=pK<=533/640,669/2560<=pL<=1339/5120, 	Unknown
2131/2560<=pK<=4263/5120,1339/5120<=pL<=67/256, 	Unknown
4263/5120<=pK<=533/640,1339/5120<=pL<=67/256, 	Unknown
133/160<=pK<=4257/5120,67/256<=pL<=1341/5120, 	Unknown
4257/5120<=pK<=2129/2560,67/256<=pL<=1341/5120, 	Unknown
133/160<=pK<=4257/5120,1341/5120<=pL<=671/2560, 	Unknown
4257/5120<=pK<=2129/2560,1341/5120<=pL<=671/2560, 	Unknown
2129/2560<=pK<=4259/5120,67/256<=pL<=1341/5120, 	Unknown
4259/5120<=pK<=213/256,67/256<=pL<=1341/5120, 	Unknown
2129/2560<=pK<=4259/5120,1341/5120<=pL<=671/2560, 	Unknown
4259/5120<=pK<=213/256,1341/5120<=pL<=671/2560, 	Unknown
2133/2560<=pK<=4267/5120,167/640<=pL<=1337/5120, 	Unknown
4267/5120<=pK<=1067/1280,167/640<=pL<=1337/5120, 	Unknown
2133/2560<=pK<=4267/5120,1337/5120<=pL<=669/2560, 	Unknown
4267/5120<=pK<=1067/1280,1337/5120<=pL<=669/2560, 	Unknown
533/640<=pK<=853/1024,669/2560<=pL<=1339/5120, 	Unknown
853/1024<=pK<=2133/2560,669/2560<=pL<=1339/5120, 	Unknown
533/640<=pK<=853/1024,1339/5120<=pL<=67/256, 	Unknown
853/1024<=pK<=2133/2560,1339/5120<=pL<=67/256, 	Unknown
2133/2560<=pK<=4267/5120,669/2560<=pL<=1339/5120, 	Unknown
4267/5120<=pK<=1067/1280,669/2560<=pL<=1339/5120, 	Unknown
2133/2560<=pK<=4267/5120,1339/5120<=pL<=67/256, 	Unknown
4267/5120<=pK<=1067/1280,1339/5120<=pL<=67/256, 	Unknown
1067/1280<=pK<=4269/5120,167/640<=pL<=1337/5120, 	Unknown
4269/5120<=pK<=427/512,167/640<=pL<=1337/5120, 	Unknown
1067/1280<=pK<=4269/5120,1337/5120<=pL<=669/2560, 	Unknown
4269/5120<=pK<=427/512,1337/5120<=pL<=669/2560, 	Unknown
427/512<=pK<=4271/5120,167/640<=pL<=1337/5120, 	Unknown
4271/5120<=pK<=267/320,167/640<=pL<=1337/5120, 	Unknown
427/512<=pK<=4271/5120,1337/5120<=pL<=669/2560, 	Unknown
4271/5120<=pK<=267/320,1337/5120<=pL<=669/2560, 	Unknown
267/320<=pK<=4273/5120,667/2560<=pL<=267/1024, 	Unknown
4273/5120<=pK<=2137/2560,667/2560<=pL<=267/1024, 	Unknown
267/320<=pK<=4273/5120,267/1024<=pL<=167/640, 	Unknown
4273/5120<=pK<=2137/2560,267/1024<=pL<=167/640, 	Unknown
2137/2560<=pK<=855/1024,667/2560<=pL<=267/1024, 	Unknown
855/1024<=pK<=1069/1280,667/2560<=pL<=267/1024, 	Unknown
2137/2560<=pK<=855/1024,267/1024<=pL<=167/640, 	Unknown
855/1024<=pK<=1069/1280,267/1024<=pL<=167/640, 	Unknown
2139/2560<=pK<=4279/5120,333/1280<=pL<=1333/5120, 	Unknown
4279/5120<=pK<=107/128,333/1280<=pL<=1333/5120, 	Unknown
2139/2560<=pK<=4279/5120,1333/5120<=pL<=667/2560, 	Unknown
4279/5120<=pK<=107/128,1333/5120<=pL<=667/2560, 	Unknown
1069/1280<=pK<=4277/5120,667/2560<=pL<=267/1024, 	Unknown
4277/5120<=pK<=2139/2560,667/2560<=pL<=267/1024, 	Unknown
1069/1280<=pK<=4277/5120,267/1024<=pL<=167/640, 	Unknown
4277/5120<=pK<=2139/2560,267/1024<=pL<=167/640, 	Unknown
2139/2560<=pK<=4279/5120,667/2560<=pL<=267/1024, 	Unknown
4279/5120<=pK<=107/128,667/2560<=pL<=267/1024, 	Unknown
2139/2560<=pK<=4279/5120,267/1024<=pL<=167/640, 	Unknown
4279/5120<=pK<=107/128,267/1024<=pL<=167/640, 	Unknown
1071/1280<=pK<=857/1024,133/512<=pL<=1331/5120, 	Unknown
857/1024<=pK<=2143/2560,133/512<=pL<=1331/5120, 	Unknown
1071/1280<=pK<=857/1024,1331/5120<=pL<=333/1280, 	Unknown
857/1024<=pK<=2143/2560,1331/5120<=pL<=333/1280, 	Unknown
2143/2560<=pK<=4287/5120,133/512<=pL<=1331/5120, 	Unknown
4287/5120<=pK<=67/80,133/512<=pL<=1331/5120, 	Unknown
2143/2560<=pK<=4287/5120,1331/5120<=pL<=333/1280, 	Unknown
4287/5120<=pK<=67/80,1331/5120<=pL<=333/1280, 	Unknown
107/128<=pK<=4281/5120,333/1280<=pL<=1333/5120, 	Unknown
4281/5120<=pK<=2141/2560,333/1280<=pL<=1333/5120, 	Unknown
107/128<=pK<=4281/5120,1333/5120<=pL<=667/2560, 	Unknown
4281/5120<=pK<=2141/2560,1333/5120<=pL<=667/2560, 	Unknown
2141/2560<=pK<=4283/5120,333/1280<=pL<=1333/5120, 	Unknown
4283/5120<=pK<=1071/1280,333/1280<=pL<=1333/5120, 	Unknown
2141/2560<=pK<=4283/5120,1333/5120<=pL<=667/2560, 	Unknown
4283/5120<=pK<=1071/1280,1333/5120<=pL<=667/2560, 	Unknown
1071/1280<=pK<=857/1024,333/1280<=pL<=1333/5120, 	Unknown
857/1024<=pK<=2143/2560,333/1280<=pL<=1333/5120, 	Unknown
1071/1280<=pK<=857/1024,1333/5120<=pL<=667/2560, 	Unknown
857/1024<=pK<=2143/2560,1333/5120<=pL<=667/2560, 	Unknown
267/320<=pK<=4273/5120,167/640<=pL<=1337/5120, 	Unknown
4273/5120<=pK<=2137/2560,167/640<=pL<=1337/5120, 	Unknown
267/320<=pK<=4273/5120,1337/5120<=pL<=669/2560, 	Unknown
4273/5120<=pK<=2137/2560,1337/5120<=pL<=669/2560, 	Unknown
435/512<=pK<=4351/5120,131/512<=pL<=1311/5120, 	Unknown
4351/5120<=pK<=17/20,131/512<=pL<=1311/5120, 	Unknown
435/512<=pK<=4351/5120,1311/5120<=pL<=41/160, 	Unknown
4351/5120<=pK<=17/20,1311/5120<=pL<=41/160, 	Unknown
2149/2560<=pK<=4299/5120,663/2560<=pL<=1327/5120, 	Unknown
4299/5120<=pK<=215/256,663/2560<=pL<=1327/5120, 	Unknown
2149/2560<=pK<=4299/5120,1327/5120<=pL<=83/320, 	Unknown
4299/5120<=pK<=215/256,1327/5120<=pL<=83/320, 	Unknown
215/256<=pK<=4301/5120,663/2560<=pL<=1327/5120, 	Unknown
4301/5120<=pK<=2151/2560,663/2560<=pL<=1327/5120, 	Unknown
215/256<=pK<=4301/5120,1327/5120<=pL<=83/320, 	Unknown
4301/5120<=pK<=2151/2560,1327/5120<=pL<=83/320, 	Unknown
2151/2560<=pK<=4303/5120,663/2560<=pL<=1327/5120, 	Unknown
4303/5120<=pK<=269/320,663/2560<=pL<=1327/5120, 	Unknown
2151/2560<=pK<=4303/5120,1327/5120<=pL<=83/320, 	Unknown
4303/5120<=pK<=269/320,1327/5120<=pL<=83/320, 	Unknown
431/512<=pK<=4311/5120,661/2560<=pL<=1323/5120, 	Unknown
4311/5120<=pK<=539/640,661/2560<=pL<=1323/5120, 	Unknown
431/512<=pK<=4311/5120,1323/5120<=pL<=331/1280, 	Unknown
4311/5120<=pK<=539/640,1323/5120<=pL<=331/1280, 	Unknown
269/320<=pK<=861/1024,331/1280<=pL<=265/1024, 	Unknown
861/1024<=pK<=2153/2560,331/1280<=pL<=265/1024, 	Unknown
269/320<=pK<=861/1024,265/1024<=pL<=663/2560, 	Unknown
861/1024<=pK<=2153/2560,265/1024<=pL<=663/2560, 	Unknown
2153/2560<=pK<=4307/5120,331/1280<=pL<=265/1024, 	Unknown
4307/5120<=pK<=1077/1280,331/1280<=pL<=265/1024, 	Unknown
2153/2560<=pK<=4307/5120,265/1024<=pL<=663/2560, 	Unknown
4307/5120<=pK<=1077/1280,265/1024<=pL<=663/2560, 	Unknown
269/320<=pK<=861/1024,663/2560<=pL<=1327/5120, 	Unknown
861/1024<=pK<=2153/2560,663/2560<=pL<=1327/5120, 	Unknown
269/320<=pK<=861/1024,1327/5120<=pL<=83/320, 	Unknown
861/1024<=pK<=2153/2560,1327/5120<=pL<=83/320, 	Unknown
1077/1280<=pK<=4309/5120,331/1280<=pL<=265/1024, 	Unknown
4309/5120<=pK<=431/512,331/1280<=pL<=265/1024, 	Unknown
1077/1280<=pK<=4309/5120,265/1024<=pL<=663/2560, 	Unknown
4309/5120<=pK<=431/512,265/1024<=pL<=663/2560, 	Unknown
431/512<=pK<=4311/5120,331/1280<=pL<=265/1024, 	Unknown
4311/5120<=pK<=539/640,331/1280<=pL<=265/1024, 	Unknown
431/512<=pK<=4311/5120,265/1024<=pL<=663/2560, 	Unknown
4311/5120<=pK<=539/640,265/1024<=pL<=663/2560, 	Unknown
539/640<=pK<=4313/5120,661/2560<=pL<=1323/5120, 	Unknown
4313/5120<=pK<=2157/2560,661/2560<=pL<=1323/5120, 	Unknown
539/640<=pK<=4313/5120,1323/5120<=pL<=331/1280, 	Unknown
4313/5120<=pK<=2157/2560,1323/5120<=pL<=331/1280, 	Unknown
2157/2560<=pK<=863/1024,661/2560<=pL<=1323/5120, 	Unknown
863/1024<=pK<=1079/1280,661/2560<=pL<=1323/5120, 	Unknown
2157/2560<=pK<=863/1024,1323/5120<=pL<=331/1280, 	Unknown
863/1024<=pK<=1079/1280,1323/5120<=pL<=331/1280, 	Unknown
1079/1280<=pK<=4317/5120,33/128<=pL<=1321/5120, 	Unknown
4317/5120<=pK<=2159/2560,33/128<=pL<=1321/5120, 	Unknown
1079/1280<=pK<=4317/5120,1321/5120<=pL<=661/2560, 	Unknown
4317/5120<=pK<=2159/2560,1321/5120<=pL<=661/2560, 	Unknown
2159/2560<=pK<=4319/5120,33/128<=pL<=1321/5120, 	Unknown
4319/5120<=pK<=27/32,33/128<=pL<=1321/5120, 	Unknown
2159/2560<=pK<=4319/5120,1321/5120<=pL<=661/2560, 	Unknown
4319/5120<=pK<=27/32,1321/5120<=pL<=661/2560, 	Unknown
1079/1280<=pK<=4317/5120,661/2560<=pL<=1323/5120, 	Unknown
4317/5120<=pK<=2159/2560,661/2560<=pL<=1323/5120, 	Unknown
1079/1280<=pK<=4317/5120,1323/5120<=pL<=331/1280, 	Unknown
4317/5120<=pK<=2159/2560,1323/5120<=pL<=331/1280, 	Unknown
67/80<=pK<=4289/5120,133/512<=pL<=1331/5120, 	Unknown
4289/5120<=pK<=429/512,133/512<=pL<=1331/5120, 	Unknown
67/80<=pK<=4289/5120,1331/5120<=pL<=333/1280, 	Unknown
4289/5120<=pK<=429/512,1331/5120<=pL<=333/1280, 	Unknown
429/512<=pK<=4291/5120,133/512<=pL<=1331/5120, 	Unknown
4291/5120<=pK<=1073/1280,133/512<=pL<=1331/5120, 	Unknown
429/512<=pK<=4291/5120,1331/5120<=pL<=333/1280, 	Unknown
4291/5120<=pK<=1073/1280,1331/5120<=pL<=333/1280, 	Unknown
1073/1280<=pK<=4293/5120,83/320<=pL<=1329/5120, 	Unknown
4293/5120<=pK<=2147/2560,83/320<=pL<=1329/5120, 	Unknown
1073/1280<=pK<=4293/5120,1329/5120<=pL<=133/512, 	Unknown
4293/5120<=pK<=2147/2560,1329/5120<=pL<=133/512, 	Unknown
2147/2560<=pK<=859/1024,83/320<=pL<=1329/5120, 	Unknown
859/1024<=pK<=537/640,83/320<=pL<=1329/5120, 	Unknown
2147/2560<=pK<=859/1024,1329/5120<=pL<=133/512, 	Unknown
859/1024<=pK<=537/640,1329/5120<=pL<=133/512, 	Unknown
1073/1280<=pK<=4293/5120,133/512<=pL<=1331/5120, 	Unknown
4293/5120<=pK<=2147/2560,133/512<=pL<=1331/5120, 	Unknown
1073/1280<=pK<=4293/5120,1331/5120<=pL<=333/1280, 	Unknown
4293/5120<=pK<=2147/2560,1331/5120<=pL<=333/1280, 	Unknown
537/640<=pK<=4297/5120,83/320<=pL<=1329/5120, 	Unknown
4297/5120<=pK<=2149/2560,83/320<=pL<=1329/5120, 	Unknown
537/640<=pK<=4297/5120,1329/5120<=pL<=133/512, 	Unknown
4297/5120<=pK<=2149/2560,1329/5120<=pL<=133/512, 	Unknown
2149/2560<=pK<=4299/5120,83/320<=pL<=1329/5120, 	Unknown
4299/5120<=pK<=215/256,83/320<=pL<=1329/5120, 	Unknown
2149/2560<=pK<=4299/5120,1329/5120<=pL<=133/512, 	Unknown
4299/5120<=pK<=215/256,1329/5120<=pL<=133/512, 	Unknown
1081/1280<=pK<=865/1024,659/2560<=pL<=1319/5120, 	Unknown
865/1024<=pK<=2163/2560,659/2560<=pL<=1319/5120, 	Unknown
1081/1280<=pK<=865/1024,1319/5120<=pL<=33/128, 	Unknown
865/1024<=pK<=2163/2560,1319/5120<=pL<=33/128, 	Unknown
2163/2560<=pK<=4327/5120,659/2560<=pL<=1319/5120, 	Unknown
4327/5120<=pK<=541/640,659/2560<=pL<=1319/5120, 	Unknown
2163/2560<=pK<=4327/5120,1319/5120<=pL<=33/128, 	Unknown
4327/5120<=pK<=541/640,1319/5120<=pL<=33/128, 	Unknown
433/512<=pK<=4331/5120,329/1280<=pL<=1317/5120, 	Unknown
4331/5120<=pK<=1083/1280,329/1280<=pL<=1317/5120, 	Unknown
433/512<=pK<=4331/5120,1317/5120<=pL<=659/2560, 	Unknown
4331/5120<=pK<=1083/1280,1317/5120<=pL<=659/2560, 	Unknown
541/640<=pK<=4329/5120,659/2560<=pL<=1319/5120, 	Unknown
4329/5120<=pK<=433/512,659/2560<=pL<=1319/5120, 	Unknown
541/640<=pK<=4329/5120,1319/5120<=pL<=33/128, 	Unknown
4329/5120<=pK<=433/512,1319/5120<=pL<=33/128, 	Unknown
433/512<=pK<=4331/5120,659/2560<=pL<=1319/5120, 	Unknown
4331/5120<=pK<=1083/1280,659/2560<=pL<=1319/5120, 	Unknown
433/512<=pK<=4331/5120,1319/5120<=pL<=33/128, 	Unknown
4331/5120<=pK<=1083/1280,1319/5120<=pL<=33/128, 	Unknown
1083/1280<=pK<=4333/5120,329/1280<=pL<=1317/5120, 	Unknown
4333/5120<=pK<=2167/2560,329/1280<=pL<=1317/5120, 	Unknown
1083/1280<=pK<=4333/5120,1317/5120<=pL<=659/2560, 	Unknown
4333/5120<=pK<=2167/2560,1317/5120<=pL<=659/2560, 	Unknown
2167/2560<=pK<=867/1024,329/1280<=pL<=1317/5120, 	Unknown
867/1024<=pK<=271/320,329/1280<=pL<=1317/5120, 	Unknown
2167/2560<=pK<=867/1024,1317/5120<=pL<=659/2560, 	Unknown
867/1024<=pK<=271/320,1317/5120<=pL<=659/2560, 	Unknown
27/32<=pK<=4321/5120,33/128<=pL<=1321/5120, 	Unknown
4321/5120<=pK<=2161/2560,33/128<=pL<=1321/5120, 	Unknown
27/32<=pK<=4321/5120,1321/5120<=pL<=661/2560, 	Unknown
4321/5120<=pK<=2161/2560,1321/5120<=pL<=661/2560, 	Unknown
2161/2560<=pK<=4323/5120,33/128<=pL<=1321/5120, 	Unknown
4323/5120<=pK<=1081/1280,33/128<=pL<=1321/5120, 	Unknown
2161/2560<=pK<=4323/5120,1321/5120<=pL<=661/2560, 	Unknown
4323/5120<=pK<=1081/1280,1321/5120<=pL<=661/2560, 	Unknown
1081/1280<=pK<=865/1024,33/128<=pL<=1321/5120, 	Unknown
865/1024<=pK<=2163/2560,33/128<=pL<=1321/5120, 	Unknown
1081/1280<=pK<=865/1024,1321/5120<=pL<=661/2560, 	Unknown
865/1024<=pK<=2163/2560,1321/5120<=pL<=661/2560, 	Unknown
271/320<=pK<=4337/5120,657/2560<=pL<=263/1024, 	Unknown
4337/5120<=pK<=2169/2560,657/2560<=pL<=263/1024, 	Unknown
271/320<=pK<=4337/5120,263/1024<=pL<=329/1280, 	Unknown
4337/5120<=pK<=2169/2560,263/1024<=pL<=329/1280, 	Unknown
2169/2560<=pK<=4339/5120,657/2560<=pL<=263/1024, 	Unknown
4339/5120<=pK<=217/256,657/2560<=pL<=263/1024, 	Unknown
2169/2560<=pK<=4339/5120,263/1024<=pL<=329/1280, 	Unknown
4339/5120<=pK<=217/256,263/1024<=pL<=329/1280, 	Unknown
217/256<=pK<=4341/5120,657/2560<=pL<=263/1024, 	Unknown
4341/5120<=pK<=2171/2560,657/2560<=pL<=263/1024, 	Unknown
217/256<=pK<=4341/5120,263/1024<=pL<=329/1280, 	Unknown
4341/5120<=pK<=2171/2560,263/1024<=pL<=329/1280, 	Unknown
2171/2560<=pK<=4343/5120,657/2560<=pL<=263/1024, 	Unknown
4343/5120<=pK<=543/640,657/2560<=pL<=263/1024, 	Unknown
2171/2560<=pK<=4343/5120,263/1024<=pL<=329/1280, 	Unknown
4343/5120<=pK<=543/640,263/1024<=pL<=329/1280, 	Unknown
271/320<=pK<=4337/5120,329/1280<=pL<=1317/5120, 	Unknown
4337/5120<=pK<=2169/2560,329/1280<=pL<=1317/5120, 	Unknown
271/320<=pK<=4337/5120,1317/5120<=pL<=659/2560, 	Unknown
4337/5120<=pK<=2169/2560,1317/5120<=pL<=659/2560, 	Unknown
543/640<=pK<=869/1024,41/160<=pL<=1313/5120, 	Unknown
869/1024<=pK<=2173/2560,41/160<=pL<=1313/5120, 	Unknown
543/640<=pK<=869/1024,1313/5120<=pL<=657/2560, 	Unknown
869/1024<=pK<=2173/2560,1313/5120<=pL<=657/2560, 	Unknown
2173/2560<=pK<=4347/5120,41/160<=pL<=1313/5120, 	Unknown
4347/5120<=pK<=1087/1280,41/160<=pL<=1313/5120, 	Unknown
2173/2560<=pK<=4347/5120,1313/5120<=pL<=657/2560, 	Unknown
4347/5120<=pK<=1087/1280,1313/5120<=pL<=657/2560, 	Unknown
